Name,Bus,v_nom,symbol,under_construction,tag_substation,tag_area,lon,lat,country,substation_lv,x,y,substation_off,v_nom_raw,type,carrier,unit,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network,Year
Bloque_3_ERNC_Hidroelectrico_250_MW138,769,138,substation,True,transmission,0,-78.1079763,-1.4574523,EC,False,-78.1079763,-1.4574523,True,138,,AC,,1,0,inf,PQ,,,2030
Paute_Cardenillo230,709,230,substation,True,transmission,0,-78.281772,-3.793905,EC,False,-78.281772,-3.793905,True,230,,AC,,1,0,inf,PQ,,,2030
Pasaje500,502,500,substation,True,transmission,0,-79.806,-3.326,EC,False,-79.806,-3.326,True,500,,AC,,1,0,inf,PQ,,,2031
Santiago500,503,500,substation,True,transmission,0,-78.97,-4.04,EC,False,-78.97,-4.04,True,500,,AC,,1,0,inf,PQ,,,2031
Santiago_081_Fase_I500,710,500,substation,True,transmission,0,-78.00558,-3.04743,EC,False,-78.00558,-3.04743,True,500,,AC,,1,0,inf,PQ,,,2031
Taday500,501,500,substation,True,transmission,0,-78.78,-2.78,EC,False,-78.78,-2.78,True,500,,AC,,1,0,inf,PQ,,,2031
Santiago_081_Fase_ll500,747,500,substation,True,transmission,0,-78.00558,-3.04743,EC,False,-78.00558,-3.04743,True,500,,AC,,1,0,inf,PQ,,,2032
Bloque_Nuclear_1_400_MW500,718,500,substation,True,transmission,0,-79.80132,-3.32451,EC,False,-79.80132,-3.32451,True,500,,AC,,1,0,inf,PQ,,,2035
Bloque_Nuclear_2_400_MW500,770,500,substation,True,transmission,0,-78.6696576,-1.3478776,EC,False,-78.6696576,-1.3478776,True,138,,AC,,1,0,inf,PQ,,,2040
Bloque_Nuclear_3_400_MW500,771,500,substation,True,transmission,0,-79.887726,-2.1899066,EC,False,-79.887726,-2.1899066,True,138,,AC,,1,0,inf,PQ,,,2045
