Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID
Catamayo,Termica,MCI,S.N.I.,Ecuador,17.17,,,,,,2000,,,-3.987,-79.3592,,
Catazacon,Hidraulica,Pasada,No_Incorporado,Ecuador,0.76,,,,,,2000,,,-1.1007381,-79.1641109,,
Cayagama,Termica,MCI,No_Incorporado,Ecuador,3.36,,,,,,2000,,,0.1116857,-77.6398817,,
CDP,Termica,MCI,No_Incorporado,Ecuador,0.33,,,,,,2000,,,-0.78618,-76.4803184,,
Cedros,Termica,MCI,No_Incorporado,Ecuador,0.45,,,,,,2000,,,-0.78618,-76.4803184,,
CELEC_Sacha,Termica,MCI,No_Incorporado,Ecuador,11.2,,,,,,2000,,,-0.2611097,-76.9080096,,
Celso_Castellanos,Termica,MCI,S.N.I.,Ecuador,7.2,,,,,,2000,,,0.0854,-76.8915,,
Central_de_Procesos_Tiputini,Termica,MCI,No_Incorporado,Ecuador,4.42,,,,,,2000,,,-0.78618,-76.4803184,,
Chiquilpe,Termica,MCI,No_Incorporado,Ecuador,0.16,,,,,,2000,,,-0.215492,-78.5013648,,
Chorongo_A,Termica,MCI,No_Incorporado,Ecuador,0.3,,,,,,2000,,,-0.2655114,-75.8920692,,
Coca,Termica,MCI,No_Incorporado,Ecuador,7.67,,,,,,2000,,,-0.78618,-76.4803184,,
Coca_Codo_Sinclair,Hidraulica,Pasada,S.N.I.,Ecuador,1476.0,,,,,,2000,,,-0.3386642,-77.809851,,
Concordia,Termica,MCI,No_Incorporado,Ecuador,0.31,,,,,,2000,,,-0.78618,-76.4803184,,
Cononaco,Termica,MCI,No_Incorporado,Ecuador,10.53,,,,,,2000,,,-1.3537363,-76.8441101,,
Corazon,Hidraulica,Pasada,S.N.I.,Ecuador,0.98,,,,,,2000,,,-0.4984774,-78.6516915,,
CPF,Termica,MCI,No_Incorporado,Ecuador,36.23,,,,,,2000,,,-1.916667,-77.0,,
CPF_2,Termica,MCI,No_Incorporado,Ecuador,26.59,,,,,,2000,,,-0.2886094,-76.5906632,,
CPH,Termica,MCI,No_Incorporado,Ecuador,1.27,,,,,,2000,,,-0.78618,-76.4803184,,
Cumbaya,Hidraulica,Pasada,S.N.I.,Ecuador,40.0,,,,,,2000,,,-0.215492,-78.5013648,,
Cuyabeno,Termica,MCI,No_Incorporado,Ecuador,14.09,,,,,,2000,,,0.0854,-76.8915,,
CUYABENO_E,Termica,MCI,No_Incorporado,Ecuador,2.74,,,,,,2000,,,-0.2655114,-75.8920692,,
Dayuma,Termica,MCI,S.N.I.,Ecuador,1.8,,,,,,2000,,,-0.78618,-76.4803184,,
Delsitanisagua_0,Hidraulica,Pasada,S.N.I.,Ecuador,180.0,,,,,,2000,,,-4.0042008,-78.9577754,,
