Bus,v_nom,symbol,under_construction,tag_substation,tag_area,lon,lat,country,substation_lv,x,y,substation_off,v_nom_raw,type,carrier,unit,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network
217,500.0,substation,False,transmission,0.0,-79.2015,-1.6442,EC,False,-79.2015,-1.6442,True,500.0,,AC,,1.0,0.0,inf,PQ,,0
256,138.0,substation,False,transmission,0.0,-78.4386,0.0187,EC,True,-78.4386,0.0187,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
257,500.0,substation,False,transmission,0.0,-77.6485,-0.1948,EC,True,-77.6485,-0.1948,True,500.0,,AC,,1.0,0.0,inf,PQ,,0
264,230.0,substation,False,transmission,0.0,-79.7308,-3.0369,EC,True,-79.7308,-3.0369,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
271,138.0,substation,False,transmission,0.0,-80.0449,-2.1902,EC,True,-80.0449,-2.1902,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
273,138.0,substation,False,transmission,0.0,-80.5993,-1.0636,EC,True,-80.5993,-1.0636,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
277,138.0,substation,False,transmission,0.0,-79.5074,-2.0203,EC,True,-79.5074,-2.0203,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
278,138.0,substation,False,transmission,0.0,-78.2909,-0.0927,EC,True,-78.2909,-0.0927,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
279,230.0,substation,False,transmission,0.0,-79.7595,-3.2083,EC,True,-79.7595,-3.2083,True,230.0,,AC,,1.0,0.0,inf,PQ,,7
280,138.0,substation,False,transmission,0.0,-78.4113,-0.3306,EC,True,-78.4113,-0.3306,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
281,230.0,substation,False,transmission,0.0,-78.9147,-0.3683,EC,True,-78.9147,-0.3683,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
288,138.0,substation,False,transmission,0.0,-78.04,0.3969,EC,True,-78.04,0.3969,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
291,138.0,substation,False,transmission,0.0,-79.9195,0.0176,EC,True,-79.9195,0.0176,True,138.0,,AC,,1.0,0.0,inf,PQ,,12
292,230.0,substation,False,transmission,0.0,-79.7513,-3.0923,EC,True,-79.7513,-3.0923,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
294,230.0,substation,False,transmission,0.0,-78.4665,-2.5911,EC,True,-78.4665,-2.5911,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
