Line,num_parallel,v_nom,bus0,bus1,length,dc,carrier,type,s_max_pu,s_nom,underwater_fraction,v_nom_raw,x,r,g,b,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,capital_cost,build_year,lifetime,terrain_factor,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt,s_nom_pu
127,1.0,500.0,93,82,150.0057196497956,False,AC,Al/St 240/40 4-bundle 380.0,0.7,2234.345541763852,0.0,500.0,36.901407033849715,4.500171589493868,0.0,0.0006503344762505822,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.00014760562813539887,1.800068635797547e-05,0.0,162.58361906264554,0.00014760562813539887,1.800068635797547e-05,2234.345541763852,1.0
128,1.0,500.0,82,217,83.63605307931586,False,AC,Al/St 240/40 4-bundle 380.0,0.7,2234.345541763852,0.0,500.0,20.5744690575117,2.509081592379476,0.0,0.0003625955657023301,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,8.22978762300468e-05,1.0036326369517903e-05,0.0,90.64889142558252,8.22978762300468e-05,1.0036326369517903e-05,2234.345541763852,1.0
131,2.0,230.0,5,92,32.79532658344069,False,AC,Al/St 240/40 2-bundle 220.0,0.7,1027.7989492113718,0.0,230.0,4.935696650807824,0.9838597975032207,0.0,0.0002575738926665383,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,9.330239415515735e-05,1.8598483884748975e-05,0.0,13.625658922059877,9.330239415515735e-05,1.8598483884748975e-05,1027.7989492113718,1.0
137,1.0,138.0,181,102,24.501072519112224,False,AC,243-AL1/39-ST1A 20.0,0.7,154.16984238170576,0.0,138.0,7.840343206115912,2.9107274152705322,0.0,8.46696283742251e-05,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0004116962406068007,0.00015284222932527474,0.0,1.612448402758743,0.0004116962406068007,0.00015284222932527474,154.16984238170576,1.0
138,2.0,138.0,33,99,21.05327213947598,False,AC,243-AL1/39-ST1A 20.0,0.7,308.3396847634115,0.0,138.0,3.3685235423161566,1.2505643650848732,0.0,0.00014550977119228968,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0001768810933793403,6.566710591708009e-05,0.0,2.7710880825859645,0.0001768810933793403,6.566710591708009e-05,308.3396847634115,1.0
139,2.0,230.0,115,85,119.68391783860757,False,AC,Al/St 240/40 2-bundle 220.0,0.7,1027.7989492113718,0.0,230.0,18.01242963471044,3.590517535158227,0.0,0.000939995292586535,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.00034049961502288166,6.7873677413199e-05,0.0,49.7257509778277,0.00034049961502288166,6.7873677413199e-05,1027.7989492113718,1.0
140,1.0,138.0,83,288,10.9045412696284,False,AC,243-AL1/39-ST1A 20.0,0.7,154.16984238170576,0.0,138.0,3.489453206281088,1.2954595028318538,0.0,3.7683389417774426e-05,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.00018323110724013274,6.802454856289927e-05,0.0,0.7176424680720962,0.00018323110724013274,6.802454856289927e-05,154.16984238170576,1.0
144,2.0,230.0,84,5,82.52934016621245,False,AC,Al/St 240/40 2-bundle 220.0,0.7,1027.7989492113718,0.0,230.0,12.420665695014973,2.4758802049863733,0.0,0.0006481839219294653,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.00023479519272240026,4.680302844964789e-05,0.0,34.28892947006871,0.00023479519272240026,4.680302844964789e-05,1027.7989492113718,1.0
149,2.0,138.0,86,62,80.22102435298483,False,AC,243-AL1/39-ST1A 20.0,0.7,308.3396847634115,0.0,138.0,12.835363896477572,4.765128846567299,0.0,0.000554447917695727,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0006739846616507862,0.0002502168056378544,0.0,10.558906144597426,0.0006739846616507862,0.0002502168056378544,308.3396847634115,1.0
150,2.0,230.0,85,89,129.6786284922739,False,AC,Al/St 240/40 2-bundle 220.0,0.7,1027.7989492113718,0.0,230.0,19.51663358808722,3.890358854768217,0.0,0.0010184935664973194,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.00036893447236459776,7.354175528862414e-05,0.0,53.878309667708194,0.00036893447236459776,7.354175528862414e-05,1027.7989492113718,1.0
151,1.0,138.0,186,291,52.3426387145031,False,AC,243-AL1/39-ST1A 20.0,0.7,154.16984238170576,0.0,138.0,16.749644388640995,6.218305479282969,0.0,0.0001808831741804864,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,3,0.0008795234398572251,0.0003265230770469948,0.0,3.444739169093183,0.0008795234398572251,0.0003265230770469948,154.16984238170576,1.0
